long,latt,location
0.56271,52.26663,"0.56271,52.26663"
0.13382,52.20781,"0.13382,52.20781"
0.70094,52.24762,"0.70094,52.24762"
0.24416,52.01876,"0.24416,52.01876"
0.13301,52.19452,"0.13301,52.19452"
0.18454,52.27177,"0.18454,52.27177"
0.18454,52.27177,"0.18454,52.27177"
0.77161,52.26807,"0.77161,52.26807"
0.24758,52.02192,"0.24758,52.02192"
0.40419,52.24424,"0.40419,52.24424"
0.11309,52.21323,"0.11309,52.21323"
0.71648,52.25492,"0.71648,52.25492"
0.63991,52.44457,"0.63991,52.44457"
0.15698,52.21574,"0.15698,52.21574"
0.72491,52.24629,"0.72491,52.24629"
0.24442,52.413,"0.24442,52.413"
0.24921,52.40841,"0.24921,52.40841"
0.10161,52.20573,"0.10161,52.20573"
0.10161,52.20573,"0.10161,52.20573"
0.38805,52.24935,"0.38805,52.24935"
0.30661,52.18816,"0.30661,52.18816"
0.2255,52.1459,"0.2255,52.1459"
0.08698,52.22583,"0.08698,52.22583"
0.01339,52.07709,"0.01339,52.07709"
0.01339,52.07709,"0.01339,52.07709"
0.9793,52.45116,"0.9793,52.45116"
0.23676,52.01897,"0.23676,52.01897"
-0.00762,52.05259,"-0.00762,52.05259"
0.15939,52.2366,"0.15939,52.2366"
-0.02407,52.04814,"-0.02407,52.04814"
0.33077,52.29297,"0.33077,52.29297"
0.33077,52.29297,"0.33077,52.29297"
-0.00619,52.0101,"-0.00619,52.0101"
0.92077,51.88852,"0.92077,51.88852"
0.03538,52.12805,"0.03538,52.12805"
0.32957,52.27818,"0.32957,52.27818"
0.32925,52.2781,"0.32925,52.2781"
0.33421,52.28195,"0.33421,52.28195"
0.70963,52.24529,"0.70963,52.24529"
0.148,52.20632,"0.148,52.20632"
0.75261,52.25075,"0.75261,52.25075"
0.20186,52.20964,"0.20186,52.20964"
0.25851,52.02192,"0.25851,52.02192"
0.01813,52.25456,"0.01813,52.25456"
0.09015,52.22938,"0.09015,52.22938"
0.81577,52.2538,"0.81577,52.2538"
0.1733,52.2893,"0.1733,52.2893"
0.15808,52.08991,"0.15808,52.08991"
0.08446,52.23769,"0.08446,52.23769"
0.61321,52.46585,"0.61321,52.46585"
0.08922,52.09588,"0.08922,52.09588"
0.04659,52.21539,"0.04659,52.21539"
0.75784,52.42389,"0.75784,52.42389"
-0.11968,52.24885,"-0.11968,52.24885"
0.15748,52.19907,"0.15748,52.19907"
0.70185,52.27482,"0.70185,52.27482"
0.73779,52.24269,"0.73779,52.24269"
0.32716,52.34209,"0.32716,52.34209"
0.70566,52.24433,"0.70566,52.24433"
0.41955,52.26754,"0.41955,52.26754"
0.41955,52.26754,"0.41955,52.26754"
0.4485,52.04399,"0.4485,52.04399"
1.1089,52.37875,"1.1089,52.37875"
-0.07818,52.21801,"-0.07818,52.21801"
0.21791,52.18211,"0.21791,52.18211"
0.31309,52.13307,"0.31309,52.13307"
0.43451,52.0782,"0.43451,52.0782"
0.21165,52.17998,"0.21165,52.17998"
0.74362,52.40389,"0.74362,52.40389"
0.18264,52.18502,"0.18264,52.18502"
0.72609,52.25175,"0.72609,52.25175"
0.76572,52.27542,"0.76572,52.27542"
0.10697,52.21632,"0.10697,52.21632"
-0.00916,52.05082,"-0.00916,52.05082"
0.44036,52.08142,"0.44036,52.08142"
0.74332,52.23902,"0.74332,52.23902"
0.74332,52.23902,"0.74332,52.23902"
0.11694,52.1799,"0.11694,52.1799"
0.14614,52.18659,"0.14614,52.18659"
0.74711,52.41122,"0.74711,52.41122"
0.05242,52.27998,"0.05242,52.27998"
0.15467,52.23578,"0.15467,52.23578"
0.39537,52.25014,"0.39537,52.25014"
0.06433,52.21115,"0.06433,52.21115"
0.25284,52.39853,"0.25284,52.39853"
0.25792,52.38802,"0.25792,52.38802"
0.25792,52.38802,"0.25792,52.38802"
0.87632,52.2245,"0.87632,52.2245"
0.7514,52.24956,"0.7514,52.24956"
0.75103,52.24103,"0.75103,52.24103"
0.17245,52.2787,"0.17245,52.2787"
0.17245,52.2787,"0.17245,52.2787"
0.15158,52.19645,"0.15158,52.19645"
